id,hip,hd,hr,gl,main_id,full_name,proper,ra,dec,rarad,decrad,dist,x,y,z,vx,vy,vz,pmra,pmdec,pmrarad,pmdecrad,spect,lum_class,mag,absmag,ci,radius,mass,temp,type,lifespan,comp,comp_primary,sibling,compdist,dist_au,inner_ohz,outer_ohz,inner_chz,outer_chz,bayer,flam,con,gaia,2mass,tyc,ccdm,wds,ads,tic,nltt,plx,fk5,iras,gcrv,web,old_bgs_id,rv,mag_V,mag_B,mag_J,mag_H,mag_K,primary_band,lum,base,comp_numeric,bf,STDT_Mismatch_FullName,STDT_Mismatch_Class,STDT_Mismatch_Magnitude,STDT_Mismatch_Mass,STDT_Mismatch_Radius,STDT_Mismatch_Temperature,STDT_Mismatch_Distance,STDT_Mismatch_InnerHZ,STDT_Mismatch_OuterHZ,Planets(ISIZ),Moons,FloraCount,FaunaCount,UniqueResourceCount,MinLevel,MaxLevel,SystemSize,SurveyDifficultyIndex,SurveyRank,Etymology
60776,60965,108767,4757.0,,* del Crv,Algorab,Algorab,187.4661,-16.5154,3.27190004,-0.28824865,26.2743,-24.9767,-3.2732,-7.4691,1486.12389559,26483.49156708,-16624.45704197,-209.276,-139.184,-1.01e-06,-6.7e-07,A0IV(n)kB9,IV,3.05,0.952,-0.05,1.705,2.44,10795.073234438129,Subgiant,1.0729660190187336,1,60776,,,5419464.161849711,5.0096860679234085,14.313388765495452,9.959733015990585,5.66571638634195,del,,Crv,3520586071216143360,J12295187-1630552,6103-2395-1,J12299-1631A,J12299-1631A,8572 A,297075865.0,30918.0,2880.00,465.0,F12272-1614,7515.0,10850.0,,13.9,2.940000057220459,2.890000104904175,3.0199999809265137,3.049999952316284,3.049999952316284,B,54.8356,Algorab,1,del  Crv,,B9 <-> A0,0.81 <-> 0.95,2.74 <-> 2.44,2.60 <-> 1.71,10500 <-> 10795,26.63 <-> 26.27,10.01 <-> 5.01,24.98 <-> 14.31,3,5,7,10,13,70,255,8,63,B,Linguistic; Arabic 'crow's crop'
60805,,108799A,,9409 A,** BU 28A,Marduk,,187.5199,-13.3932,3.27283955,-0.23375526,24.2957,-23.4317,-3.0931,-5.6277,-2769.75881102,30503.91445389,-5238.87388907,-265.722,-46.756,-1.29e-06,-2.3e-07,G0.1V,V,6.49,4.562,0.61,1.072,1.06,5928.662279892813,Main sequence,8.57210645379982,1,60805,,,5011353.5392801175,0.9501873438257872,2.714820982359392,1.8890629335584104,1.0746166388505929,,,Crv,3528362362908431360,,5533-1791-1,J12301-1324A,J12301-1324A,8573 A,,,,,,,,,1.26,6.489999771118164,7.099999904632568,,,,V,1.3154,Marduk,1,Crv,,G1 <-> G0,4.41 <-> 4.56,1.05 <-> 1.06,1.03 <-> 1.07,5915 <-> 5929,24.65 <-> 24.30,0.91 <-> 0.95,2.14 <-> 2.71,9,9,12,10,24,70,255,18,87,A,Mythic; Babylonian chief god
61748,61941,110379,4825.0,482 A,* gam Vir,Porrima,Porrima,190.4151,-1.4494,3.32337075,-0.02529687,12.0202,-11.8183,-2.1723,-0.304,-6335.93236172,33896.77621482,4882.28889836,-605.176,85.701,-2.93e-06,4.2e-07,F1-F2V,V,1.88,1.48,0.36,3.09,2.16,7100.6683644758405,Main sequence,1.454158490695079,1,61748,,,2479338.0011659563,3.928166533597174,11.223332953134785,7.809569179889619,4.442569293949185,gam,,Vir,3683687763520080384,J12413962-0126580,4949-1120-1,J12417-0127A,J12417-0127A,8630 A,51735845.0,31564.0,2924,,12390-0110,7623.0,11013.0,,-19.8,2.740000009536743,3.0999999046325684,2.0899999141693115,1.9299999475479128,1.8799999952316284,K,22.2752,Porrima,1,gam  Vir,,F0 <-> F1,2.40 <-> 1.48,1.56 <-> 2.16,1.40 <-> 3.09,7500 <-> 7101,11.68 <-> 12.02,2.12 <-> 3.93,4.87 <-> 11.22,6,15,12,14,24,30,40,21,62,B,Mythic; Roman goddess of prophecy
62328,62523,111395,4864.0,486.1,V* LW Com,Ixyll,,192.196,24.8402,3.3544536,0.43354376,17.0982,-15.1661,-3.2779,7.1828,-9238.43941612,25775.46787382,-7765.01809991,-334.908,-105.517,-1.62e-06,-5.1e-07,G5V,V,4.645,3.48,0.478,1.473,1.36,6490.378456787176,Main sequence,4.597937236809142,1,62328,,,3526750.1855151174,1.5639715733297892,4.468490209513684,3.109324437453272,1.7687773745991664,,,Com,3957887649746830848,J12484706+2450250,1990-3779-1,,,,160010717.0,31976.0,2945.00,3021.0,12462+2506,7674.0,11098.0,,-8.965,,6.980000019073486,5.123000144958496,4.704999923706055,4.644999980926514,K,3.5967,Ixyll,1,Com,,G7 <-> G5,5.15 <-> 3.48,0.87 <-> 1.36,0.90 <-> 1.47,5405 <-> 6490,16.93 <-> 17.10,0.67 <-> 1.56,1.59 <-> 4.47,9,17,16,16,28,40,50,26,73,B,Speculative; Ixion; 'cycle of exile'
63947,64150,114174,,9429,** CRJ 5,Verne,,197.2126,5.2072,3.44200912,0.09088349,26.4077,-25.1209,-7.7823,2.3967,-4237.87417147,-12522.35089847,-84812.71247787,85.533,-680.324,4.1e-07,-3.3e-06,G3IV,IV,5.202,3.093,0.411,1.593,1.49,6822.204625888648,Subgiant,3.679901508691073,1,63947,,,5446985.319942854,1.8690044266812875,5.340012647660822,3.715758800663989,2.113755006365742,,,Vir,3729017810434416128,J13085103+0512259,304-969-1,,J13088+0513AB,,381726125.0,33022.0,3002.00,3047.0,,7820.0,11339.0,,24.195,,7.46999979019165,5.61299991607666,5.311999797821045,5.202000141143799,K,6.5866,Verne,1,Vir,,G5 <-> G3,4.69 <-> 3.09,0.93 <-> 1.49,0.93 <-> 1.59,5575 <-> 6822,26.13 <-> 26.41,0.82 <-> 1.87,1.93 <-> 5.34,7,10,5,7,27,70,255,17,79,B,Author; From the Earth to the Moon
64587,64792,115383,5011.0,504,* 59 Vir,Rutherford,,199.1938,9.4242,3.47658787,0.16448254,17.5878,-16.3859,-5.7042,2.8799,-6707.28419456,27281.21440985,15708.26321548,-335.473,191.038,-1.63e-06,9.3e-07,G0IV,IV,4.033,2.807,0.357,1.669,1.59,7117.8228682923445,Subgiant,3.1205892473146872,1,64587,,,3627737.421668481,2.13250471415288,6.092870611865371,4.239622467422988,2.411761283863376,,59.0,Vir,3732539683617411072,J13164653+0925269,891-624-1,J13168+0925A,J13168+0925A,,397587084.0,33523.0,3034.00,,13142+0941,7894.0,11451.0,,-27.0,,5.809999942779541,4.389999866485596,4.10699987411499,4.0329999923706055,K,8.5747,Rutherford,1,59.0 Vir,,,3.97 <-> 2.81,1.1 <-> 1.59,1.05 <-> 1.67,6000 <-> 7118,17.56 <-> 17.59,1.11 <-> 2.13,2.60 <-> 6.09,6,15,7,7,24,45,55,21,59,C,Physicist; atomic nucleus discoverer
64720,64924,115617,5019.0,506,*  61 Vir,Volii,,199.6013,-18.3112,3.48370002,-0.31959062,8.5344,-7.6327,-2.7181,-2.6813,-1779.39761893,45327.10282465,-40858.46154456,-1070.202,-1063.849,-5.19e-06,-5.16e-06,G6.5V,V,2.956,3.3,0.7,2.148,1.42,5601.696866011756,Main sequence,4.145077032331714,1,64720,,,1760350.1671892577,1.6992340471002574,4.854954420286449,3.378239117449321,1.9217527913633865,,61.0,Vir,3507879565090229760,J13182443-1818387,6116-1517-1,J13185-1818A,J13184-1819A,,422478973.0,33614.0,3039.00,1345.0,13157-1802,7907.0,11474.0,,-7.824,4.739999771118164,5.440000057220459,3.3340001106262207,2.9739999771118164,2.9560000896453857,K,4.2457,Volii,1,61.0 Vir,,G5 <-> G6,5.08 <-> 3.30,0.93 <-> 1.42,0.93 <-> 2.15,5575 <-> 5602,8.55 <-> 8.53,0.68 <-> 1.70,1.62 <-> 4.85,6,5,0,2,13,5,15,11,30,D,Linguistic; Latin 'I fly'
65147,65352,116442,,3781,BD+06 2697,Al-Battani,,200.9131,2.7233,3.50659581,0.04753102,16.5888,-15.4785,-5.9147,0.7882,1018.93702696,-660.16587024,15655.6242487,12.467,199.291,6e-08,9.7e-07,G9V,V,5.097,3.998,0.512,1.218,1.21,6334.960560016023,Main sequence,6.194152516999783,1,65147,,,3421681.969818369,1.2322356529631426,3.5206732941804075,2.4498018338672,1.3935998456130778,,,Vir,3712538708114516992,J13233916+0243239,303-1283-1,J13237+0243A,J13237+0243A,8883 A,393713800.0,33954.0,,,,64077.0,,,28.492,,7.829999923706055,5.609000205993652,5.21999979019165,5.0970001220703125,K,2.2327,Al-Battani,1,Vir,,G5 <-> G9,6.12 <-> 4.00,0.93 <-> 1.21,0.93 <-> 1.22,5575 <-> 6335,15.45 <-> 16.59,0.42 <-> 1.23,1.00 <-> 3.52,8,12,3,7,19,35,45,20,53,C,Astronomer; refined solar year and trig tables
65150,65355,116443,,3782,BD-04 3519,Khayyam,,200.9202,2.7253,3.50671882,0.04756501,16.5793,-15.4689,-5.9132,0.7883,836.05829928,-157.22654913,15804.9688289,5.667,201.308,3e-08,9.8e-07,K2V,V,5.231,4.133,0.537,1.185,1.17,6225.703823104601,Main sequence,6.695631631018082,1,65150,,,3419730.4865533416,1.157833321824138,3.308095205211823,2.30188291362656,1.3094543520630133,,,Vir,3712538811193759744,J13234086+0243309,303-1282-1,J13237+0243B,J13237+0243B,8883 B,393713801.0,33956.0,,,,64078.0,,,27.496,,8.180000305175781,5.76800012588501,5.355999946594238,5.230999946594238,K,2.0641,Khayyam,1,Vir,,G4 <-> K2,6.31 <-> 4.13,0.95 <-> 1.17,0.95 <-> 1.19,5660 <-> 6226,16.14 <-> 16.58,0.39 <-> 1.16,0.91 <-> 3.31,6,12,5,9,26,40,50,18,50,C,Historical; Persian astronomer-poet
65515,65721,117176,5072.0,9446,*  70 Vir,Bara,,202.1075,13.7788,3.52744194,0.24048522,18.0992,-16.286,-6.6155,4.3108,-18527.96205341,14324.50115012,-47994.06273777,-235.951,-575.969,-1.14e-06,-2.79e-06,G4Va,V,3.24,1.952,0.71,4.045,1.94,5567.728608655219,Main sequence,1.9073314216163744,1,65515,,,3733225.329450455,3.161828831452791,9.033796661293689,6.286016843483525,3.5758778450954183,,70.0,Vir,3740176925743650816,J13282584+1346447,898-1042-1,J13285+1346A,J13284+1347A,,95473936.0,34214.0,3076.00,1349.0,13259+1402,7991.0,11632.0,,5.017,4.96999979019165,5.679999828338623,3.799999952316284,3.4570000171661377,3.240000009536743,K,14.7,Bara,1,70.0 Vir,,G5 <-> G4,3.69 <-> 1.95,0.93 <-> 1.94,0.93 <-> 4.04,5575 <-> 5568,17.99 <-> 18.10,1.29 <-> 3.16,3.06 <-> 9.03,7,10,3,9,22,45,55,17,53,C,Historical; Japan; early astronomical hub
67063,67275,120136,5185.0,527 A,* tau Boo,Shoza,,206.8156,17.4569,3.60961274,0.30468023,15.6135,-13.2927,-6.7192,4.6839,-14385.93063957,31617.86501423,4476.51843089,-468.923,63.469,-2.27e-06,3.1e-07,F7IV-V,IV,3.36,2.392,0.49,2.472,1.75,6434.591499248499,Subgiant,2.4582353730028723,1,67063,,,3220522.522522523,2.5809554908295875,7.374158545227393,5.131185321054061,2.918937757485843,tau,,Boo,1244571953471006720,J13471581+1727249,1460-132-1,J13473+1727A,J13473+1727A,9025 A,72506701.0,35234.0,3144,507.0,13448+1742,8140.0,11837.0,,-16.03,4.489999771118164,4.980000019073486,3.619999885559082,3.549999952316284,3.359999895095825,K,12.5604,Shoza,1,tau  Boo,,,3.53 <-> 2.39,1.22 <-> 1.75,1.14 <-> 2.47,6360 <-> 6435,15.62 <-> 15.61,1.33 <-> 2.58,3.01 <-> 7.37,9,11,22,22,26,35,45,20,82,A,Speculative; Fist of the North Star character
67711,67927,121370,5235.0,534 B,* eta Boo,Muphrid,Muphrid,208.6712,18.3977,3.64199883,0.3211008,11.396,-9.4877,-5.1881,3.5967,-6914.50374375,-28.24953117,-18262.06192655,-60.95,-356.29,-3e-07,-1.73e-06,G0IV,IV,1.485,1.201,0.57,4.781,2.31,6087.54723457096,Subgiant,1.238251634706047,1,67711,,,2350596.07977208,4.467166688109916,12.763333394599757,8.881152820408998,5.05215280202907,eta,,Boo,1244946371540224000,J13544106+1823514,1470-1157-1,J13547+1824A,J13547+1824A,,367758676.0,35643.0,3175.00,513.0,13522+1838,8204.0,11935.0,,5.77111,2.680000066757202,3.25,1.6699999570846558,1.534000039100647,1.4850000143051147,K,37.6275,Muphrid,1,eta  Boo,,,2.40 <-> 1.20,1.1 <-> 2.31,1.05 <-> 4.78,6100 <-> 6088,,2.28 <-> 4.47,5.32 <-> 12.76,8,21,8,11,28,15,25,29,62,B,Linguistic; Arabic 'solitary'
68415,68634,122676,,3824,BD+15 2658,Pyraas,,210.7369,14.9753,3.67805343,0.26136909,26.6456,-22.1246,-13.1559,6.8853,-3608.16654795,6273.32464084,358.16517679,-57.288,2.954,-2.8e-07,1e-08,G7V,V,5.253,3.125,0.72,2.385,1.48,5534.195806821752,Main sequence,3.747303007791485,1,68415,,,5496041.961433212,1.842061971018914,5.263034202911182,3.662194632859031,2.0832843719856764,,,Boo,1231250992143084800,J14025689+1458314,907-128-1,,,,72601126.0,,,,,,,,-8.86,7.139999866485596,7.860000133514404,5.7179999351501465,5.353000164031982,5.252999782562256,K,4.9894,Pyraas,1,Boo,,G5 <-> G7,4.98 <-> 3.12,0.93 <-> 1.48,0.93 <-> 2.38,5575 <-> 5534,26.83 <-> 26.65,0.71 <-> 1.84,1.68 <-> 5.26,8,13,10,11,24,70,255,21,90,A,Linguistic; Greek 'fire'
68463,68682,122742,5273.0,538,BD+11 2625,Moloch,,210.8848,10.7868,3.6806333,0.18826451,15.1179,-12.7449,-7.6231,2.8294,-308.91006551,-7554.08859611,-21789.60092888,88.248,-309.491,4.3e-07,-1.5e-06,G6V,V,4.459,3.562,0.758,2.041,1.34,5410.6097978740045,Main sequence,4.818223008526729,1,68463,,,3118283.789565346,1.5065021933704834,4.304291981058523,2.9950698368198894,1.7037822425023323,,,Boo,3724242219117947904,J14033235+1047121,904-1278-1,,J14035+1047AB,,457880598.0,36119.0,3201.00,,14010+1101,8257.0,12022.0,,-8.5,6.26800012588501,7.026000022888184,5.389999866485596,4.764999866485596,4.459000110626221,K,3.3372,Moloch,1,Boo,,G8 <-> G6,5.12 <-> 3.56,0.84 <-> 1.34,0.88 <-> 2.04,5320 <-> 5411,16.98 <-> 15.12,0.68 <-> 1.51,1.62 <-> 4.30,7,7,6,10,22,40,50,14,50,C,Mythic; Biblical child-sacrifice deity
69192,69414,124292,,3830,BD-02 3804,Bel,,213.1885,-3.3201,3.72084113,-0.0579464,21.7887,-18.2038,-11.907,-1.2619,-7606.53695025,15080.40598584,-33219.51550038,-162.498,-322.138,-7.9e-07,-1.56e-06,G8/K0V,V,5.304,3.613,0.744,1.961,1.32,5455.451253111298,Main sequence,4.962624603219494,1,69192,,,4494237.025932882,1.4713301910934706,4.203800545981345,2.925144546578686,1.6640043827842823,,,Vir,3646061719703115776,J14124525-0319120,4979-117-1,,,,147718994.0,36571.0,,,,,,,37.819,7.039000034332275,7.782999992370605,5.736999988555908,5.375999927520752,5.303999900817871,K,3.1832,Bel,1,Vir,,G0 <-> G8,5.33 <-> 3.61,1.1 <-> 1.32,1.05 <-> 1.96,6000 <-> 5455,22.05 <-> 21.79,0.59 <-> 1.47,1.39 <-> 4.20,7,12,9,13,25,55,255,19,85,A,Mythic; Babylonian storm god
69451,69673,124897,5340.0,541,* alf Boo,Arcturus,Arcturus,213.9153,19.1824,3.73352631,0.3347962,11.2575,-8.8234,-5.9325,3.6989,-61656.65086098,28856.67904709,-100810.01700328,-1093.39,-2000.06,-5.3e-06,-9.7e-06,K1.5IIIFe-0.5,III,-2.911,-3.168,1.23,73.345,6.31,4250.69369488885,Giant,0.1001035719064489,1,69451,,,2322017.4040301703,33.4133197429288,95.46662783693944,66.42886186987036,37.78887351878853,alf,,Boo,,J14153968+1910558,1472-1436-1,J14157+1911A,J14157+1911A,,459832522.0,36756.0,3242.00,526.0,14133+1925,8341.0,12132.0,,-5.229,-0.050000000745058,1.1799999475479126,-2.252000093460083,-2.809999942779541,-2.9110000133514404,K,1919.9092,Arcturus,1,alf  Boo,,K2 <-> K1,-0.31 <-> -3.17,1.08 <-> 6.31,25.39 <-> 73.34,4280 <-> 4251,11.26 <-> 11.26,8.66 <-> 33.41,21.59 <-> 95.47,3,1,4,4,10,15,25,4,27,D,Linguistic; Greek 'bear guardian'
69479,69701,124850,5338.0,9473,* iot Vir,Syrma,Syrma,214.0036,-6.0005,3.73506774,-0.1047293,22.0258,-18.1594,-12.2503,-2.3025,2190.42063431,4828.67096928,-43081.0861502,-26.606,-414.866,-1.3e-07,-2.01e-06,F7III,III,2.801,1.086,0.52,4.707,2.37,6299.551342527256,Giant,1.1590084059953316,1,69479,,,4543137.568445026,4.709881900665673,13.45680543047335,9.363693778704372,5.326652149562368,iot,,Vir,3640828731549668352,J14160086-0600016,4982-1645-1,,J14190-0636C,,6029884.0,36758.0,3241.00,525.0,14133-0545,8342.0,12135.0,,12.079,4.079999923706055,4.599999904632568,3.140000104904175,2.9089999198913574,2.8010001182556152,K,41.8275,Syrma,1,iot  Vir,,,2.33 <-> 1.09,1.22 <-> 2.37,1.14 <-> 4.71,6345 <-> 6300,22.24 <-> 22.03,2.31 <-> 4.71,5.37 <-> 13.46,7,11,13,12,24,55,255,18,89,A,Linguistic; Arabic 'the train'
69766,69989,125451,5365.0,3841,*  18 Boo,Rana,,214.8178,13.0043,3.74927846,0.22696787,26.1053,-20.8821,-14.523,5.8743,6721.38654832,-11186.93949956,-3769.52435307,105.226,-31.26,5.1e-07,-1.5e-07,F3V,V,4.394,2.31,0.392,2.218,1.79,6923.129265145771,Main sequence,2.344710279747148,1,69766,,,5384604.295887894,2.6804513923029285,7.658432549436939,5.328992648983204,3.0314628841521216,,18.0,Boo,1226844321337777664,J14191627+1300155,915-1442-1,J14192+1300A,J14193+1300A,,86433449.0,,3255.01,1372.0,14168+1314,8373.0,12171.0,,-1.2,5.395999908447266,5.788000106811523,4.738999843597412,4.538000106811523,4.394000053405762,K,10.3719,Rana,1,18.0 Boo,,F5 <-> F3,3.33 <-> 2.31,1.3 <-> 1.79,1.20 <-> 2.22,6675 <-> 6923,26.10 <-> 26.11,1.44 <-> 2.68,3.32 <-> 7.66,9,15,12,18,28,65,255,24,98,S,Linguistic; Latin 'the frog'
69793,70016,125455,,544 A,BD-04 3665,Bannoc,,214.8953,-5.1512,3.7506299,-0.08990526,20.4493,-16.7047,-11.6513,-1.836,-34231.74689041,50932.14390926,-11653.0991023,-632.951,-120.707,-3.07e-06,-5.9e-07,K1V,V,5.541,3.988,0.857,1.877,1.21,5114.572860875839,Main sequence,6.157475583502649,1,69793,118959,,4217964.8068055175,1.238104001871685,3.5374400053476704,2.461468670387754,1.4002366687834529,,,Vir,3642413746280598528,J14193488-0509041,4982-1062-1,J14196-0509A,J14196-0509A,,203230367.0,36962.0,3255,5266.0,,26146.0,12176.0,,-9.766,7.568999767303467,8.425999641418457,6.089000225067139,5.64300012588501,5.540999889373779,K,2.3602,Bannoc,1,Vir,,,5.98 <-> 3.99,0.76 <-> 1.21,0.83 <-> 1.88,5035 <-> 5115,20.88 <-> 20.45,0.47 <-> 1.24,1.12 <-> 3.54,4,3,3,5,18,0,0,7,28,D,Linguistic; Old English 'bannuc'; small piece of land
70096,70319,126053,5384.0,547,BD+01 2920,Hyla,,215.8137,1.2416,3.7666594,0.02166943,17.461,-14.1562,-10.2149,0.3783,10146.66447444,-15494.71591772,-39579.46736669,223.531,-478.275,1.08e-06,-2.32e-06,G1.5V,V,4.644,3.434,0.63,1.85,1.38,5852.508984247449,Main sequence,4.476253562636911,1,70096,,,3601582.7667249865,1.5978924411598738,4.565406974742497,3.176762353258321,1.807140260835572,,,Vir,3654496279558010880,J14231528+0114294,318-438-1,,J14233+0114A,,446436963.0,37152.0,3264.00,,14206+0128,8401.0,12208.0,,-19.214,6.269999980926514,6.900000095367432,5.052999973297119,4.814000129699707,4.644000053405762,K,3.7544,Hyla,1,Vir,,,5.07 <-> 3.43,1.05 <-> 1.38,1.03 <-> 1.85,5915 <-> 5853,17.19 <-> 17.46,0.67 <-> 1.60,1.58 <-> 4.57,8,14,13,8,32,40,50,22,64,B,Scientific; tree frog genus
71456,71683,128620,5459.0,559 A,* alf Cen A,Alpha Centauri,Rigil Kentaurus,219.9021,-60.834,3.83801495,-1.06175347,1.3475,-0.5038,-0.4213,-1.1766,-17097.19011557,16339.39359873,1487.85871545,-3679.25,473.67,-1.784e-05,2.3e-06,G2V,V,-2.008,2.344,0.71,3.376,1.77,5567.728640086511,Main sequence,2.391072230325832,1,71456,119223,,277939.963887242,2.6387918225427907,7.539405207265116,5.246169456721977,2.984347894542441,alf,,Cen,,J14393592-6050069,9007-5849-1,J14396-6050A,J14396-6050A,,471011145.0,37984.0,3309,,,8517.0,12354.0,,-15.252,0.0099999997764825,0.7200000286102295,-1.4539999961853027,-1.8860000371932983,-2.007999897003174,K,10.2389,Alpha Centauri,1,alf  Cen,,,4.38 <-> 2.34,1.1 <-> 1.77,1.24 <-> 3.38,5790 <-> 5568,1.32 <-> 1.35,0.93 <-> 2.64,2.19 <-> 7.54,4,8,13,17,18,1,10,12,47,C,Linguistic; Latin 'Centaur's foot'
71517,71743,128987,,,V* KU Lib,Kang,,220.1296,-16.2093,3.84198647,-0.28290552,23.7318,-17.4237,-14.6876,-6.6246,-6496.69809315,10958.07414343,-7126.03530442,-111.695,-66.024,-5.4e-07,-3.2e-07,G8Vk:,V,5.531,3.654,0.737,1.908,1.31,5478.169104676963,Main sequence,5.0826157693052885,1,71517,,,4895029.759644593,1.4434756508170763,4.124216145191647,2.869767067695854,1.63250222413836,,,Lib,6286606170175267840,J14403109-1612335,6154-999-1,,,,466493185.0,,,,,,,,-22.88,7.239999771118164,7.9770002365112305,5.947000026702881,5.629000186920166,5.531000137329102,K,3.0638,Kang,1,Lib,,G6 <-> G8,5.37 <-> 3.65,0.9 <-> 1.31,0.92 <-> 1.91,5490 <-> 5478,23.68 <-> 23.73,0.60 <-> 1.44,1.43 <-> 4.12,8,12,4,6,24,60,255,20,80,B,Linguistic; Chinese 'health' or warrior
71731,71957,129502,5487.0,9491,* mu. Vir,Heinlein,,220.7651,-5.6582,3.85307787,-0.09875424,19.1639,-14.4439,-12.4523,-1.8894,8668.57488272,-5720.93031957,-28580.13018374,110.002,-316.139,5.3e-07,-1.53e-06,F2V,V,3.04,1.628,0.38,2.981,2.09,6988.564151087949,Main sequence,1.5826893840830614,1,71731,,,3952833.973726321,3.670817002444066,10.488048578411616,7.297933802478083,4.151519228954598,mu,,Vir,6337717036910713856,J14430363-0539291,4997-942-1,,J14431-0540A,,185284200.0,38172.0,3325.00,545.0,14404-0526,8551.0,12388.0,,1.63,3.880000114440918,4.260000228881836,3.3299999237060547,3.069999933242798,3.039999961853028,K,19.4521,Heinlein,1,mu  Vir,,,2.56 <-> 1.63,1.99 <-> 2.09,1.26 <-> 2.98,7170 <-> 6989,18.27 <-> 19.16,1.99 <-> 3.67,4.56 <-> 10.49,7,16,5,8,26,45,55,23,62,B,Author; Starship Troopers
