id,mod,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,spect,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,bayer,flam,con,comp,comp_primary,base,lum,var,var_min,var_max,radius,mass,comp,compdist,AU dist,Temp,type,Outer OHZ,Inner OHZ,Outer CHZ,Inner CHZ,Special,Luminosity Class,System Location ID
75150,,75379,137052,5723,,31Eps Lib,Archimedes,15.403303,-10.322266,31.230499,-68.519997,-152.649994,-10,4.92,2.447,F5,0.453,-19.315191,-23.894489,-5.596007,0.00000086,0.00001757,-0.0000209,4.032575,-0.180158,-3.32E-07,-7.40E-07,Eps,31,Lib,1,75150,,9.145343,,0,0,1.2,1.3,0,0,0,6675,,4.98,2.15,4.72,2.73,,,
75489,,75718,137763,0,Gl 586A,,Gamma Vulpes,15.469336,-9.348069,20.5846,72.690002,-363.369995,8.2,6.89,5.322,K2,0.788,-12.493698,-16.014261,-3.343604,0.00000425,-0.00000634,-0.00003714,4.049863,-0.163155,3.52E-07,-1.76E-06,,0,Lib,1,75489,Gl 586,0.647441,,0,0,0.806,0.744,75493,0.092946,19171.56055,4870,,1.54,0.63,1.46,0.8,Equatorial mountains,II-a,
75493,,75722,137778,0,Gl 586B,,Delta Vulpes,15.470058,-9.35786,20.4918,81.529999,-355.850006,8,7.57,6.012,K2,0.868,-12.434009,-15.943968,-3.331985,0.00000496,-0.00000681,-0.00003621,4.050052,-0.163325,3.95E-07,-1.73E-06,,0,Lib,2,75489,Gl 586,0.342926,,0,0,0.806,0.744,75489,0.092946,19171.56055,4870,,1.12,0.46,1.06,0.58,,,
76816,,77052,140538,5853,Gl 596.1A,23Psi Ser,Copernicus,15.733839,2.515173,14.6585,-44.959999,-144.729996,19.4,5.86,5.03,G5,0.684,-8.187523,-12.141967,0.643281,-0.00001398,-0.00001502,-0.0000094,4.119109,0.043898,-2.18E-07,-7.02E-07,Psi,23,Ser,1,76816,Gl 596.1,0.847227,,0,0,0.93,0.93,119039,0.012738,2627.37915,5575,,1.66,0.7,1.57,0.89,Rings around rocky planet,V,
76835,,77070,140573,5854,Gl 596.2,24Alp Ser,Serpentis,15.737798,6.425627,22.675699,134.660004,44.139999,2.7,2.63,0.852,K2,1.167,-12.5786,-18.695648,2.537718,0.00001105,-0.00001009,0.00000513,4.120146,0.112148,6.53E-07,2.14E-07,Alp,24,Ser,1,76835,,39.73745,,0,0,0.806,0.744,0,0,0,4870,,12.07,4.97,11.45,6.29,,,
77022,,77257,141004,5868,Gl 598,27Lam Ser,Kryx,15.77406,7.353073,12.1242,-225.509995,-68.519997,-68.5,4.42,4.002,G0,0.604,-6.61701,-10.039373,1.551618,0.00002689,0.00006488,-0.00001296,4.129639,0.128335,-1.09E-06,-3.32E-07,Lam,27,Ser,1,77022,,2.183735,,0,0,1.05,1.1,0,0,0,6000,,2.56,1.09,2.43,1.39,,,
77172,,77408,141272,,NN 3917,,Nirah,15.802629,1.571739,21.2902,-176.19,-166.72,-28.4,7.44,5.799,G8,0.801,-11.578688,-17.856506,0.583954,0.00000028,0.00003386,-0.000018,4.137118493,0.027432026,-8.54193E-07,-8.08281E-07,,0,Ser,1,77172,,0.417253511,V382,7.472,7.412,0.882,0.84,0,0,0,5320,,1.42,0.6,1.35,0.76,,,
78498,,78738,144087,0,Wo 9541A,,Enlil,16.073868,-11.44938,25.2589,-69.169998,-20.93,-31.5,7.44,5.428,G8,0.75,-11.961101,-21.674656,-5.013889,0.00000809,0.00003218,0.00000388,4.208128,-0.199829,-3.35E-07,-1.01E-07,,0,Sco,1,78498,Wo 9541,0.587219,,7.72,7.39,0.882,0.84,0,0,0,5320,,1.41,0.59,1.34,0.75,,,
79252,,79492,145958,0,Gl 615.1A,,Sparta,16.22179,13.526911,23.5849,183.410004,-418.700012,18.1,6.68,4.817,G8,0.764,-10.293638,-20.490568,5.516595,0.00000563,-0.0000355,-0.00004221,4.246855,0.236089,8.89E-07,-2.03E-06,,0,Her,1,79252,Gl 615.1,1.030861,,0,0,0.882,0.84,0,0,0,5320,,1.87,0.78,1.77,0.99,Giant geysers,III,
79431,,79672,146233,6060,Gl 616,18    Sco,Jaffa,16.260351,-8.369442,13.9005,232.160004,-495.839996,12,5.49,4.775,G1,0.652,-6.049152,-12.350743,-2.023308,0.00001085,-0.00001342,-0.00003484,4.25695,-0.146074,1.13E-06,-2.40E-06,,18,Sco,1,79431,,1.071519,,0,0,1.03,1.05,0,0,0,5915,,1.81,0.77,1.72,0.98,Only giant canyons are habitable,IV,
81444,,81693,150680,6212,Gl 635A,40Zet Her,Bradbury,16.688112,31.602726,10.7158,-462.579987,345.049988,-70.400002,2.81,2.66,F9,0.65,-3.073152,-8.593139,5.615032,0.00000118,0.00007468,-0.00002246,4.368938,0.551572,-2.24E-06,1.67E-06,Zet,40,Her,1,81444,Gl 635,7.516229,,0,0,1.08,1.14,119106,0.08043,16589.87109,5820,subgiant,4.82,2.05,4.58,2.6,,,
82337,,82588,152391,0,Gl 641,,Tidacha,16.883001,-0.026421,17.250299,-711.75,-1483.650024,45.400002,6.65,5.466,G8,0.749,-4.973027,-16.518349,-0.007955,-0.00007036,-0.00002726,-0.00012409,4.419959,-0.000461,-3.45E-06,-7.19E-06,,0,Oph,1,82337,,0.567022,V2292,6.677,6.617,0.882,0.84,0,0,0,5320,,1.38,0.58,1.32,0.735,Harsh winds,I,
83021,,83276,153631,0,Gl 650,,Masada,17.019655,-13.567129,27.382299,-14.86,-323.369995,83.400002,7.12,4.933,G2,0.608,-6.757095,-25.747034,-6.423637,-0.0000204,-0.00006996,-0.00006173,4.455735,-0.236791,-7.20E-08,-1.57E-06,,0,Oph,1,83021,,0.926403,,0,0,1,1,0,0,0,5830,,1.69,0.72,1.6,0.91,Corrosive rain,III,
83344,,83601,154417,6349,Gl 654.1,,Heisenberg,17.088005,0.702559,20.6654,-15.67,-335.109985,-15.8,6,4.424,F9,0.578,-4.886918,-20.077518,0.253391,0.0000022,0.00001567,-0.00003377,4.473629,0.012262,-7.60E-08,-1.62E-06,,0,Oph,1,83344,,1.480471,V2213,6.021,5.991,1.08,1.14,0,0,0,6015,,2.14,0.91,2.03,1.15,Surface half dark/half light,V-a,
83865,,84123,0,0,Gl 660A,,Lunara,17.197851,-1.851765,10.1843,-534.659973,-326.410004,0,11.45,11.41,G4,1.6,-2.121931,-9.955354,-0.329093,-0.00002571,0.00000601,-0.00001611,4.502387,-0.032319,-2.59E-06,-1.58E-06,,0,Oph,1,83865,Gl 660,0.237684,,11.547,11.377,0.953333,0.953333,0,0,0,5660,,0.87,0.368,0.825,0.467,Giant canyons,II,
84147,,84405,155885,6401,Gl 663A,36    Oph,Artemis,17.255836,-26.602829,5.9333,-473.690002,-1143.930054,0.9,4.33,5.464,K2,0.855,-1.027046,-5.204798,-2.656955,-0.00001067,0.00001628,-0.00002983,4.517567,-0.464307,-2.30E-06,-5.55E-06,,36,Oph,1,84147,Gl 663,0.568068,,0,0,0.806,0.744,119135,0.051917,10708.58008,4870,,1.44,0.59,1.37,0.75,,,
84604,,84862,157214,6458,Gl 672,72    Her,Nemeria,17.34432,32.467743,14.3266,135.399994,-1040.550049,-79.099998,5.38,4.599,G0,0.619,-2.064569,-11.909033,7.690492,0.0000143,0.00002741,-0.0001044,4.540732,0.566669,6.56E-07,-5.04E-06,,72,Her,1,84604,,1.260085,,0,0,1.05,1.1,0,0,0,6000,,1.95,0.83,1.85,1.05,,,
84636,,84893,156897,6445,Gl 670A,40Xi  Oph,Xi Ophiuchi,17.350101,-21.112932,17.355101,262.01001,-204.740005,-8.8,4.39,3.193,F2,0.394,-2.741337,-15.956245,-6.251407,0.0000242,0.00001066,-0.00001283,4.542246,-0.36849,1.27E-06,-9.93E-07,Xi,40,Oph,1,84636,Gl 670,4.600447,,0,0,30.000004,1.54,119147,0.04239,8743.561523,3900,giant,4.43,1.74,4.2,2.21,Lakes of liquid Lead,II,
85264,,85523,0,0,Gl 674,,Sakharov,17.47772,-46.895191,4.5405,573.320007,-879.840027,-10.2,9.38,11.094,M3,1.553,-0.422874,-3.073668,-3.314975,0.0000154,0.00001935,-0.00000562,4.575656,-0.818475,2.78E-06,-4.27E-06,,0,Ara,1,85264,,0.00318,,0,0,0.506,0.366,0,0,0,3600,,0.119,0.046,0.113,0.058,,,
85407,,85667,158614,6516,Gl 678A,,Alpha Marae,17.506611,-1.062922,16.342501,-126.639999,-172,-77.300003,5.31,4.243,G8,0.715,-2.10463,-16.202881,-0.303147,0.00000026,0.00007993,-0.00001216,4.58322,-0.018551,-6.14E-07,-8.34E-07,,0,Oph,1,85407,Gl 678,1.749041,,0,0,17,0.84,0,0,0,5500,giant,2.4,1.01,2.27,1.28,,,
85769,,86032,159561,6556,Gl 681,55Alp Oph,Rasalhague,17.582241,12.560035,14.8965,110.080002,-222.610001,12.6,2.08,1.215,A5,0.155,-1.587067,-14.453242,3.239454,0.00000615,-0.00001685,-0.00001289,4.60302,0.219214,5.34E-07,-1.08E-06,Alp,55,Oph,1,85769,,28.444611,,0,0,6.15,2.1,0,0,0,8040,subgiant,8.35,3.63,7.92,4.6,,,
86469,,86736,160915,6595,Gl 692,58    Oph,Feynman,17.723833,-21.683193,17.6523,-97.93,-44.57,10.2,4.86,3.626,F6,0.469,-1.184939,-16.360472,-6.522104,-0.00000896,-0.00000766,-0.0000074,4.640089,-0.378443,-4.75E-07,-2.16E-07,,58,Oph,1,86469,,3.087451,,0,0,1.17,1.26,0,0,0,6510,,2.92,1.26,2.78,1.6,Tide locked & ring fracture,I,
86475,,86742,161096,6603,,60Bet Oph,Cebalrai,17.724543,4.567303,25.094101,-40.669998,158.800003,-12,2.76,0.762,K2,1.168,-1.802333,-24.949291,1.998237,-0.00000394,0.00001409,0.00001828,4.640275,0.079714,-1.97E-07,7.70E-07,Bet,60,Oph,1,86475,,43.171783,,0,0,81,0.744,0,0,0,4870,giant,12.58,5.18,11.94,6.59,,,
86705,,86974,161797,6623,Gl 695A,86Mu  Her,Andromas,17.774319,27.720676,8.3105,-291.420013,-750,-16.700001,3.42,3.822,G5,0.75,-0.434406,-7.3437,3.865655,-0.00001166,0.00000175,-0.00003469,4.653306,0.483817,-1.41E-06,-3.64E-06,Mu,86,Her,1,86705,Gl 695,2.577508,,0,0,0.93,0.93,0,0,0,5590,subgiant,2.88,1.22,2.74,1.54,Liquid methane volcanos,VI-b,
87665,,87937,0,0,Gl 699,,Barnard's Star,17.963472,4.693388,1.8238,-797.840027,9999.990234,-111,9.54,13.235,M4,1.57,-0.017373,-1.816613,0.149123,-0.00000591,0.0001204,0.00007888,4.702826,0.081915,-3.87E-06,5.01E-05,,0,Oph,1,87665,,0.000443,V2500,9.59,9.49,0.382,0.262,0,0,0,3130,,0.05,0.02,0.04,0.02,,,
87902,,88175,164259,6710,Gl 699.2,57Zet Ser,Schrodinger,18.008059,-3.690269,23.5516,154.169998,-44.43,-42.900002,4.62,2.76,F3,0.39,0.049583,-23.502333,-1.515823,0.00001751,0.00004415,-0.00000224,4.714499,-0.064407,7.47E-07,-2.15E-07,Zet,57,Ser,1,87902,,6.854882,,0,0,1.24,1.46,0,0,0,7005,,4.22,1.83,4.01,2.32,Polar oasis & magma fields,V,
88327,,88601,165341,6752,Gl 702A,70    Oph,Narion,18.090914,2.500099,5.0834,124.559998,-962.659973,-6.9,4.03,5.499,K0,0.86,0.120862,-5.077062,0.221741,0.00000293,0.00000609,-0.00002401,4.73619,0.043635,6.04E-07,-4.67E-06,,70,Oph,1,88327,Gl 702,0.550047,V2391,4.05,4.02,0.85,0.78,119198,0.002159,445.229828,5200,,1.38,0.58,1.31,0.73,,,
89684,,89962,168723,6869,Gl 711,58Eta Ser,Leviathan,18.355167,-2.898825,18.542601,-547.570007,-700.719971,6.9,3.23,1.889,K0,0.941,1.719456,-18.438938,-0.937748,-0.00004865,-0.00000842,-0.00006326,4.805371,-0.050594,-2.65E-06,-3.40E-06,Eta,58,Ser,1,89684,,15.289737,,0,0,53,0.78,0,0,0,4890,giant,7.47,3.08,7.09,3.9,,,
90582,,90864,171067,0,GJ 1229,,Bardeen,18.53624,13.736565,25.980801,112.720001,122.93,-45.299999,7.2,5.127,G8,0.692,3.53137,-24.98901,6.169255,0.00000725,0.00005019,0.00000404,4.852776,0.239748,5.46E-07,5.96E-07,,0,Her,1,90582,,0.774819,,0,0,0.882,0.84,0,0,0,5320,,1.62,0.68,1.54,0.86,Giant volcano,II,
90979,,91262,172167,7001,Gl 721,3Alp Lyr,Vega,18.615641,38.783691,7.6787,201.020004,287.459991,-12.1,0.03,0.604,A0,-0.001,0.960565,-5.908009,4.809731,0.00000476,0.00001734,0.00000059,4.873563,0.676903,9.75E-07,1.39E-06,Alp,3,Lyr,1,90979,,49.934418,,0,0,2.5,3.2,0,0,0,10000,,15.53,6.6,14.74,8.37,,,
91156,,91438,172051,6998,Gl 722,,Linnaeus,18.648169,-21.05187,13.0839,-74.879997,-151.869995,38.599998,5.85,5.266,G5,0.673,2.062141,-12.035562,-4.700031,0.00000096,-0.0000337,-0.00002317,4.882079,-0.367424,-3.63E-07,-7.36E-07,,0,Sgr,1,91156,,0.681711,,0,0,0.93,0.93,0,0,0,5575,,1.49,0.63,1.41,0.79,Lakes of liquid Lithium,I,
91756,,92043,173667,7061,Gl 725.2,110    Her,Newton,18.761036,20.546309,19.208599,-9.25,-335.649994,22.299999,4.19,2.773,F6,0.483,3.560021,-17.631081,6.741603,0.00000555,-0.00003186,-0.00002126,4.911627,0.358601,-4.48E-08,-1.63E-06,,110,Her,1,91756,,6.773295,,0,0,1.17,1.26,0,0,0,6510,,4.33,1.87,4.11,2.37,,,
97338,,97649,187642,7557,Gl 768,53Alp Aql,Altair,19.846388,8.868322,5.1295,536.820007,385.540009,-26.1,0.76,2.21,A7,0.221,2.355468,-4.4873,0.790749,-0.00000112,0.00003087,0.00000536,5.195772,0.154781,2.60E-06,1.87E-06,Alp,53,Aql,1,97338,,11.376273,Alp,0.803,0.753,9.600001,1.94,0,0,0,7200,giant,5.39,2.34,5.11,2.96,,,
98924,,99240,190248,7665,Gl 780,Del Pav,Delta Pavonis,20.145157,-66.182068,6.1084,1210.290039,-1130.339966,-21.700001,3.55,4.62,G5,0.751,1.313772,-2.087713,-5.587991,0.00000926,0.00005259,0.00000678,5.27399,-1.155095,5.87E-06,-5.48E-06,Del,0,Pav,1,98924,,1.235947,,0,0,0.93,0.93,0,0,0,5600,subgiant,1.99,0.84,1.89,1.07,Tall mountain,Nascent,
103879,,104214,201091,8085,Gl 820A,61    Cyg,Piazzi,21.114794,38.749416,3.4865,4155.100098,3258.899902,-64.800003,5.2,7.488,K5,1.069,1.979356,-1.863636,2.181892,-0.00001456,0.0001102,0.00000149,5.52784,0.676305,2.01E-05,1.58E-05,,61,Cyg,1,103879,Gl 820,0.088064,V1803,5.682,5.002,0.74,0.69,103883,0.011516,2375.421875,4375,variable,0.59,0.24,0.56,0.3,,,
103883,,104217,201092,8086,Gl 820B,61    Cyg,Bessel,21.115164,38.742054,3.498,4107.399902,3143.719971,-64.300003,6.05,8.331,K7,1.309,1.986273,-1.869789,2.188742,-0.00001387,0.00010874,0.00000044,5.527937,0.676176,1.99E-05,1.52E-05,,61,Cyg,2,103879,Gl 820,0.040514,,0,0,0.696,0.602,103879,0.011516,2375.421875,4045,,0.41,0.16,0.39,0.21,,,
118021,,0,0,0,Gl 34B,,Carinae,0.817022,57.817364,5.9527,1097.52002,-509.450012,10.5,7.51,8.636,K7,1.39,3.098396,0.673787,5.03855,0.00001103,0.0000348,0.00000126,0.213896,1.009103,5.32E-06,-2.47E-06,,0,CAS,2,3814,Gl  34,0.030591,,0,0,0.696,0.602,3814,0.000478,98.540192,4045,,0.36,0.14,0.34,0.18,,,
118043,,0,0,0,Gl 53B,,Beta Andraste,1.135395,54.920395,7.5529,3425.070068,-1575.359985,0,11,11.609,M3,0,4.149624,1.273905,6.180949,0.00000853,0.00013373,-0.00003313,0.297246,0.958542,1.66E-05,-7.64E-06,,0,CAS,2,5325,Gl  53,0.001979,,0,0,0.444,0.314,5325,0.000275,56.774551,3280,,0.1,0.04,0.09,0.05,,,
118441,,0,0,0,Gl 244B,,Canis,6.752559,-16.71524,2.6371,-543.200012,-1203.050049,0,8.44,11.334,WD,-0.03,-0.494379,2.476814,-0.75847,0.00000768,-0.00000297,-0.00001473,1.767816,-0.291736,-2.63E-06,-5.83E-06,,0,CMa,2,32263,Gl 244,0.002549,,0,0,0.008,0.5,32263,0.000101,20.882719,25200,,0,0,0,0,,,
118493,,0,0,0,Gl 280B,,Procyon B,7.655006,5.226824,3.4974,-702.340027,-1021.919983,0,10.7,12.981,WD,0,-1.462274,3.161021,0.31861,0.00001014,0.00000644,-0.00001725,2.004076,0.091225,-3.41E-06,-4.95E-06,,0,CMi,2,37173,Gl 280,0.000559,,0,0,0.014,0.6,37173,0.016764,3457.782227,7740,,0.04,0.02,0.04,0.02,,,
118720,,0,0,0,Gl 406,,Wolf,10.941484,7.01532,2.3906,-3822.949951,-2716.830078,13,13.45,16.556999,M6,2,-2.282811,0.649334,0.292057,-0.00000433,0.00004728,-0.00002961,2.864474,0.12244,-1.85E-05,-1.32E-05,,0,,1,118720,,0.000021,,0,0,0.256667,0.173333,0,0,0,2860,,0,0,0,0,,,
118742,,55203,98231,4375,Gl 423A,53Xi  UMa,Ursae Majoris,11.303118,31.528784,10.4167,-425.23999,-581.01001,-15.9,4.33,4.241,F8,0.59,-8.73089,1.610966,5.446747,0.00000243,0.00002139,-0.00003351,2.959149,0.550281,-2.06E-06,-2.82E-06,Xi,53,UMa,1,118742,Gl 423,1.752266,,0,0,1.02,0.97,118743,0.000118,24.240282,6000,,2.29,0.98,2.18,1.24,,,
118743,,0,98230,4374,Gl 423B,53Xi  UMa,Ursae Minoris,11.303118,31.528784,10.4167,-425.23999,-581.01001,-13.6,4.8,4.711,G2,0,-8.730989,1.610983,5.446808,0.00000046,0.00002175,-0.00003228,2.959149,0.550281,-2.06E-06,-2.82E-06,Xi,53,UMa,2,118742,Gl 423,1.210658,,0,0,0.92,0.86,118742,0.000118,24.240282,5700,,1.85,0.79,1.75,1,Giant plateau habitalbe,I,
118771,,0,0,0,Gl 442B,,Beta Tirna,11.776003,-40.495552,9.2396,-1540.050049,395.420013,0,15,15.172,M5,0,-7.014188,0.412626,-6.000094,-0.00000747,0.00006953,0.00001347,3.08295,-0.706781,-7.47E-06,1.92E-06,,0,,2,57270,Gl 442,0.000074,,0,0,0.32,0.21,57270,0.018686,3854.166016,3000,,0.02,0.01,0.02,0.01,Dwarf planet in asteroid belt,,
118818,,0,0,0,NN 3727A,,Bolivar,12.481423,-10.664672,12.0482,-279.619995,14.65,0,10.96,10.555,M3,1.51,-11.746178,-1.488318,-2.229648,-0.00000221,0.00001618,0.00000084,3.267629,-0.186134,-1.36E-06,7.10E-08,,0,Vir,1,118818,NN 3727,0.005224,,0,0,0.444,0.314,118819,0.000862,177.783859,3280,,0.16,0.06,0.15,0.08,,,
118819,,0,0,0,NN 3728B,,Rivera,12.481145,-10.664674,12.0482,-279.619995,14.65,0,11,10.595,G5,0,-11.746287,-1.487463,-2.229649,-0.00000221,0.00001618,0.00000084,3.267556,-0.186134,-1.36E-06,7.10E-08,,0,Vir,2,118819,NN 3728,0.005035,,0,0,0.93,0.93,118818,0.000862,177.783859,5575,,0.13,0.05,0.12,0.07,,,
118959,,0,0,0,Gl 544B,,Bannoc Secondus,14.326332,-5.151874,20.781401,-627.150024,-127.589996,0,15.1,13.512,M4,0,-16.976093,-11.840462,-1.866087,-0.00003521,0.00005248,-0.0000128,3.750625,-0.089917,-3.04E-06,-6.19E-07,,0,,2,69793,Gl 544,0.000343,,0,0,0.382,0.262,69793,0.099719,20568.44727,3140,,0.04,0.02,0.04,0.02,,,
118988,,0,0,0,Gl 566B,,Maheo,14.856488,19.099249,6.6997,135.410004,-102.779999,3.1,6.97,7.84,K4,1.16,-4.64172,-4.305423,2.192231,-0.00000001,-0.000006,-0.00000212,3.88942,0.333345,6.56E-07,-4.98E-07,,0,Boo,2,72432,Gl 566,0.06368,,0,0,0.762,0.708,72432,0.012462,2570.413574,4540,,0.5,0.2,0.47,0.26,,,
119039,,0,0,0,Gl 596.1B,,Copernicus Minor,15.73386,2.513094,14.6714,-55.77,-149.970001,0,12,11.168,M6,0,-8.194576,-12.152574,0.643307,-0.00000355,0.00000183,-0.00001066,4.119115,0.043862,-2.70E-07,-7.27E-07,,0,Ser,2,76816,Gl 596.1,0.00297,,0,0,0.256667,0.173333,76816,0.012738,2627.37915,2860,,0.12,0.05,0.11,0.06,,,
119058,,0,144070,5978,Wo 9540A,Xi  Sco,Beta Ternion,16.072775,-11.374611,24.3309,-61.630001,-33.189999,-32.200001,4.84,2.909,F6,0.45,-11.530023,-20.879358,-4.798287,0.00000962,0.00003245,0.00000266,4.207842,-0.198524,-2.99E-07,-1.61E-07,Xi,0,Sco,1,119058,Wo 9540,5.975854,,0,0,1.17,1.26,119059,0.000143,29.423658,6510,,4.07,1.76,3.86,2.22,,,
119059,,0,144069,5977,Wo 9540B,Xi  Sco,Proxima Ternion,16.072775,-11.374611,24.3309,-61.630001,-33.189999,-29.4,5,3.069,F6,0,-11.530091,-20.87948,-4.798316,0.00000826,0.00002999,0.00000209,4.207842,-0.198524,-2.99E-07,-1.61E-07,Xi,0,Sco,2,119058,Wo 9540,5.157034,,0,0,1.17,1.26,119060,0.000799,164.835526,6510,,3.78,1.63,3.59,2.07,Volcanic oases,IV,
119060,,0,0,0,Wo 9540C,,Alpha Ternion,16.072767,-11.372747,24.3309,-67.389999,-18.940001,-31.299999,7.3,5.369,G8,0.75,-11.530152,-20.879517,-4.79752,0.00000843,0.0000317,0.00000412,4.207841,-0.198492,-3.27E-07,-9.18E-08,,0,Sco,3,119058,Wo 9540,0.620012,,0,0,0.882,0.84,119058,0.000794,163.703842,5320,,1.45,0.61,1.38,0.77,,,
119105,,0,0,0,NN 3969,,Decaran,16.696112,-5.82428,23.2558,19.17,-219.160004,0,12.06,10.227,G9,1.5,-7.745072,-21.800842,-2.359949,0.00000288,0.00000164,-0.00002458,4.371032,-0.101653,9.29E-08,-1.06E-06,,0,,1,119105,,0.007066,,0,0,0.866,0.81,0,0,0,5235,,0.16,0.07,0.15,0.08,,,
119106,,0,0,0,Gl 635B,,McClure,16.688156,31.601208,10.7956,-467.970001,391.279999,0,5.4,5.234,K0,0,-3.096312,-8.657766,5.656936,-0.00001945,0.00001835,0.00001744,4.368949,0.551545,-2.27E-06,1.90E-06,,0,Her,2,81444,Gl 635,0.702102,,0,0,0.85,0.78,81444,0.08043,16589.87109,5200,,1.56,0.65,1.48,0.82,,,
119135,,0,155886,6402,Gl 663B,36    Oph,Apollo,17.255733,-26.603214,5.9852,-492.429993,-1127.130005,0.5,5.07,6.185,K1,0.85,-1.036233,-5.250282,-2.680239,-0.00001127,0.00001668,-0.00002947,4.51754,-0.464314,-2.39E-06,-5.46E-06,,36,Oph,2,84147,Gl 663,0.292415,,0,0,0.828,0.762,84147,0.051917,10708.58008,5035,,1.02,0.42,0.97,0.54,Polar ring mountains & icy valley,I,
119143,,0,0,0,Gl 667B,,Oborum Prime,17.315628,-34.992893,6.9711,1145.079956,-185.460007,1,7.2,7.983,K5,0,-1.017406,-5.619572,-3.99778,0.00003857,-0.00000419,-0.00000572,4.533221,-0.610741,5.55E-06,-8.99E-07,,0,Sco,2,84451,Gl 667,0.055821,,0,0,0.74,0.69,119144,0.000739,152.42453,4375,,0.47,0.19,0.45,0.24,,,
119144,,0,0,0,Gl 667C,,Oborum Secondus,17.315929,-34.997665,6.9711,1167.640015,-170.339996,0.6,10.24,11.023,M2,1.57,-1.016894,-5.61931,-3.998244,0.00003933,-0.00000429,-0.00000507,4.5333,-0.610824,5.66E-06,-8.26E-07,,0,Sco,3,84451,Gl 667,0.003395,,0,0,0.506,0.366,119143,0.000739,152.42453,3420,,0.12,0.05,0.12,0.06,,,
119147,,0,0,0,Gl 670B,,Zeta Ophiuchi,17.34992,-21.115276,17.3974,230.369995,-207.429993,0,8.9,7.698,K3,0,-2.74869,-15.994834,-6.267336,0.00002022,0.00000292,-0.00001632,4.542199,-0.368531,1.12E-06,-1.01E-06,,0,Oph,2,84636,Gl 670,0.072577,,0,0,0.784,0.726,84636,0.04239,8743.561523,4705,,0.52,0.21,0.5,0.27,,,
119159,,0,0,0,Gl 678B,,Beta Marae,17.50651,-1.064706,16.447399,-118.339996,-173.479996,-73.800003,6.2,5.12,G8,0,-2.118168,-16.303766,-0.305548,0.0000004,0.00007631,-0.00001243,4.583194,-0.018583,-5.74E-07,-8.41E-07,,0,Oph,2,85407,Gl 678,0.77983,,0,0,22,0.84,0,0,0,5500,giant,1.6,0.67,1.52,0.85,No oceans & lots of rivers and lakes,I,
119198,,0,0,0,Gl 702B,,Valo,18.09099,2.498264,5.086,252.270004,-1101.47998,-10,6,7.468,K5,1.15,0.121015,-5.079214,0.221672,0.000006,0.00000917,-0.00002758,4.73621,0.043603,1.22E-06,-5.34E-06,,0,Oph,2,88327,Gl 702,0.089702,,0,0,0.74,0.69,88327,0.002159,445.229828,4375,,0.6,0.24,0.57,0.31,,,
119217,,0,0,0,NN 4056,,Nikola,18.40147,1.683412,13.8889,170.570007,-196.220001,0,11.84,11.127,G5,1.56,1.456471,-13.806294,0.408012,0.00001146,0.00000082,-0.00001321,4.817493,0.029381,8.27E-07,-9.51E-07,,0,Ser,1,119217,,0.003085,,0,0,0.93,0.93,0,0,0,5575,,0.1,0.04,0.1,0.05,Huge crater,I,
